District Name,District Number,Year,elem_nutr_gen_atm,mid_nutr_gen_atm,elem_nutr_bkfst,mid_nutr_bkfst,elem_nutr_lunch,mid_nutr_lunch,elem_nutr_a_la_carte,mid_nutr_a_la_carte,elem_nutr_vend,mid_nutr_vend,elem_nutr_sch_store,mid_nutr_sch_store,elem_nutr_sch_day,mid_nutr_sch_day,elem_nutr_aft_sch_prog,mid_nutr_aft_sch_prog,elem_ne_gen_guide_and_class,mid_ne_gen_guide_and_class,elem_ne_cafeteria,mid_ne_cafeteria,elem_ne_events_dur_sch_day,mid_ne_events_dur_sch_day,elem_ne_aft_sch_prog,mid_ne_aft_sch_prog,elem_ne_fam_comm,mid_ne_fam_comm,elem_ne_staff_well,mid_ne_staff_well,elem_pa_gen_guide_pe_class,mid_pa_gen_guide_pe_class,elem_pa_thru_day,mid_pa_thru_day,elem_pa_punish,mid_pa_punish,elem_pa_recess,mid_pa_recess,elem_pa_bef_aft_sch,mid_pa_bef_aft_sch,elem_pa_fam_comm,mid_pa_fam_comm,3_mean_edfa_ela,3_mean_edfa_math,4_mean_edfa_ela,4_mean_edfa_math,5_mean_edfa_ela,5_mean_edfa_math,6_mean_edfa_ela,6_mean_edfa_math,7_mean_edfa_ela,7_mean_edfa_math,8_mean_edfa_ela,8_mean_edfa_math,three_mean_ela2011,three_mean_math2011,four_mean_ela2011,four_mean_math2011,five_mean_ela2011,five_mean_math2011,six_mean_ela2011,six_mean_math2011,seven_mean_ela2011,seven_mean_math2011,eight_mean_ela2011,eight_mean_math2011,three_ela_change,three_math_change,four_ela_change,four_math_change,five_ela_change,five_math_change,six_ela_change,six_math_change,seven_ela_change,seven_math_change,eight_ela_change,eight_math_change
Abilene,435,2010,B+,B+,E,E,E,E,,E,,E,,,A+,A+,E+,E+,A,A,E,B+,E,E-,A+,A+,E-,A+,E,E,B+,B,E-,E-,B+,B+,E-,,,A+,E-,E-,-0.098640338,-0.25123215,-0.012611791,-0.20010817,0.12701893,-0.13554022,0.12663229,0.073637009,0.17557254,0.34818402,-0.064194724,0.25267285,0.094116367,0.079015791,0.18867354,0.21304415,0.21419173,0.20207809,0.26417038,-0.014987095,0.27009457,0.3518703,0.075884178,0.35468349,0.192756705,0.330247941,0.201285331,0.41315232,0.0871728,0.33761831,0.13753809,-0.088624104,0.09452203,0.00368628,0.140078902,0.10201064
Andover,385,2010,B+,B+,E+,E+,E-,E-,E,E,,A-,,,A-,A-,,,B+,B+,B-,B-,B+,B+,,,B-,B-,B+,B-,B,A-,B+,A+,B+,B+,B+,,,,B,B,0.22678107,0.11129656,0.30290118,0.34189799,0.53398287,0.59496689,0.43506715,0.4316822,0.66891408,0.34594521,0.50989252,0.23461561,0.41245326,0.29965276,0.41541234,0.3083981,0.48596078,0.61422366,0.48743051,0.61404181,0.51303208,0.34970278,0.5739854,0.57090551,0.18567219,0.1883562,0.11251116,-0.03349989,-0.04802209,0.01925677,0.05236336,0.18235961,-0.155882,0.00375757,0.06409288,0.3362899
Anthony-Harper,361,2010,B+,B,E-,E-,,,,,,,,,A,A,,,E-,E-,E,E,E+,E+,,,A+,A+,E,E,B+,B+,E,E,B+,B+,E-,,E,E,E-,A+,-0.28367892,-0.013565525,0.089147612,0.055699166,0.10740162,0.46008691,-0.27854046,-0.24508713,-0.20493887,0.21091573,-0.40479359,-0.2747598,0.10095534,0.036070317,0.28724423,0.56062227,0.055963941,0.41132143,0.036989346,0.24379063,0.028217802,0.15009764,0.14245871,0.33147874,0.38463426,0.049635842,0.198096618,0.504923104,-0.051437679,-0.04876548,0.315529806,0.48887776,0.233156672,-0.06081809,0.5472523,0.60623854
Arkansas City,470,2010,B+,B+,A,A,A,A,,E-,,A+,,,B+,B+,A+,A+,A-,A-,A-,A-,A+,E+,B-,B-,A+,A+,E-,E-,B+,B+,E-,E-,B+,B+,B+,,B+,B+,A+,A+,-0.31783164,-0.028949838,-0.15350576,-0.01602672,0.000736978,0.057149779,0.008406033,-0.070123665,0.005580721,0.01976149,-0.10293642,0.016154366,0.020762842,0.20839757,-0.071637295,0.041058466,-0.037545923,0.11017979,0.18328612,0.22947752,0.10179909,0.028879184,0.13405454,0.15542577,0.338594482,0.237347408,0.081868465,0.057085186,-0.038282901,0.053030011,0.174880087,0.299601185,0.096218369,0.009117694,0.23699096,0.139271404
Atchison,409,2010,B+,B+,E-,E,E-,E-,,E+,E,E-,,,A+,A+,E,,B,B,E,E,E-,E,B-,B-,A+,A+,E,E,B+,B,E,E,B,B+,A+,,E-,E-,A+,A+,-0.35796711,-0.4861083,-0.40614548,-0.61699289,-0.19666342,-0.19453807,0.004001702,0.015808754,-0.21111827,0.006293336,-0.002523758,0.019301284,-0.1406045,-0.2440362,-0.64133465,-0.7636463,-0.21021128,-0.32458287,0.06759572,0.23864727,-0.15532917,0.11192273,-0.020957194,0.48082277,0.21736261,0.2420721,-0.23518917,-0.14665341,-0.01354786,-0.1300448,0.063594018,0.222838516,0.0557891,0.105629394,-0.018433436,0.461521486
Atchison Co Comm Schools,377,2010,B+,B+,A+,A+,E-,E-,,,,,,,A,A-,,E-,B+,B+,E,E,E+,E+,,,E,E,E+,E+,A+,E,E,E,B+,B+,E,,E,E,E,E,0.011739266,0.25113782,0.39548248,-0.035136204,-0.078143075,-0.2481377,0.091176152,0.031471707,-0.30852774,-0.049793683,0.10754622,0.28660515,-0.18166485,-0.21483296,0.042349432,0.20560285,0.14794832,-0.087249815,0.21144415,-0.16530435,-0.20306396,-0.014461095,-0.2834897,0.20753539,-0.193404116,-0.46597078,-0.353133048,0.240739054,0.226091395,0.160887885,0.120267998,-0.196776057,0.10546378,0.035332588,-0.39103592,-0.07906976
Augusta,402,2010,B+,B+,E+,E+,E,E,,E+,A+,E,,,A,A-,,,A,A-,E,E,E+,E+,,,E,E,E+,E+,B,A-,E,E,B,B+,E-,,E-,E,E,E,0.33372399,0.48676354,0.42070299,0.46870729,0.45128781,0.59256738,0.068959408,0.12676524,0.25128296,0.35277799,0.075298376,0.038418904,0.57706052,0.34467557,0.37295073,0.56231648,0.31425259,0.38395768,0.029762447,-0.037389271,0.44806087,0.50215954,0.25691268,0.15102956,0.24333653,-0.14208797,-0.04775226,0.09360919,-0.13703522,-0.2086097,-0.039196961,-0.164154511,0.19677791,0.14938155,0.181614304,0.112610656
Baldwin City,348,2010,B+,B+,E,E,A,A+,,E,,,,,A-,A-,,,A,A,E,E,A+,A,,,B+,B+,E+,E,B+,A-,E,E,B+,B+,E-,,,,E,E,0.19895925,0.026797438,0.18950321,0.29358092,0.4024345,0.28906232,0.22580197,0.46927822,0.004572767,0.010324404,0.044329181,-0.028065462,0.10766069,-0.15693752,0.33504421,0.27804354,0.35637575,0.13502365,0.16783692,0.20912395,0.33192223,0.25320506,-0.3246302,0.011107964,-0.09129856,-0.183734958,0.145541,-0.01553738,-0.04605875,-0.15403867,-0.05796505,-0.26015427,0.327349463,0.242880656,-0.368959381,0.039173426
Barber County North,254,2010,B+,,E,,A+,,,,B+,,,,A-,,E-,,A-,,B+,,B+,,B+,,A-,,E-,,A-,,B+,,B+,,B+,,E-,,B+,,0.25313115,0.32005027,0.079299122,0.17092077,,,0.44154054,0.46497568,0.12004054,-0.42625427,0.030284693,-0.22410336,0.60832471,0.36457786,0.076316178,-0.16004474,0.064160332,-0.12820458,0.45245662,0.28925595,0.52269363,-0.10136499,0.11107387,-0.41851896,0.35519356,0.04452759,-0.002982944,-0.33096551,0.064160332,-0.12820458,0.01091608,-0.17571973,0.40265309,0.32488928,0.080789177,-0.1944156
Barnes,223,2010,B+,B+,A,A,B+,B+,A+,A+,A,A,,,A-,B+,,,A-,A-,A,A,A,A,A,A,A-,A-,B-,B-,B,A,A,A,B+,B+,A+,,A+,A+,A-,A-,0.59486461,0.53597438,,,,,,,,,,,,,,,,,,,,,0.29916766,0.26834056,-0.59486461,-0.53597438,0,0,0,0,0,0,0,0,0.29916766,0.26834056
