total_elem_nutr,total_mid_nutr,total_elem_ne,total_mid_ne,total_elem_pa,total_mid_pa,three_ela_change,three_math_change,four_ela_change,four_math_change,five_ela_change,five_math_change,six_ela_change,six_math_change,seven_ela_change,seven_math_change,eight_ela_change,eight_math_change
34,50,42,35,27,25,0.192756705,0.330247941,0.201285331,0.41315232,0.0871728,0.33761831,0.13753809,-0.088624104,0.09452203,0.00368628,0.140078902,0.10201064
31,35,11,9,13,15,0.18567219,0.1883562,0.11251116,-0.03349989,-0.04802209,0.01925677,0.05236336,0.18235961,-0.155882,0.00375757,0.06409288,0.3362899
15,14,38,38,36,28,0.38463426,0.049635842,0.198096618,0.504923104,-0.051437679,-0.04876548,0.315529806,0.48887776,0.233156672,-0.06081809,0.5472523,0.60623854
22,35,28,31,25,22,0.338594482,0.237347408,0.081868465,0.057085186,-0.038282901,0.053030011,0.174880087,0.299601185,0.096218369,0.009117694,0.23699096,0.139271404
39,40,32,33,32,26,0.21736261,0.2420721,-0.23518917,-0.14665341,-0.01354786,-0.1300448,0.063594018,0.222838516,0.0557891,0.105629394,-0.018433436,0.461521486
21,27,37,37,41,35,-0.193404116,-0.46597078,-0.353133048,0.240739054,0.226091395,0.160887885,0.120267998,-0.196776057,0.10546378,0.035332588,-0.39103592,-0.07906976
31,41,39,38,34,31,0.24333653,-0.14208797,-0.04775226,0.09360919,-0.13703522,-0.2086097,-0.039196961,-0.164154511,0.19677791,0.14938155,0.181614304,0.112610656
20,29,31,29,29,23,-0.09129856,-0.183734958,0.145541,-0.01553738,-0.04605875,-0.15403867,-0.05796505,-0.26015427,0.327349463,0.242880656,-0.368959381,0.039173426
31,,24,,23,,0.35519356,0.04452759,-0.002982944,-0.33096551,0.064160332,-0.12820458,0.01091608,-0.17571973,0.40265309,0.32488928,0.080789177,-0.1944156
26,25,24,24,26,23,-0.59486461,-0.53597438,,,,,,,,,0.29916766,0.26834056
17,26,29,29,26,22,-0.25691129,-0.14625282,0.1152009,0.346114029,0.0693767,0.11562127,0.09755584,-0.00088926,0.14738154,0.23876456,0.16823903,0.15083915
20,38,31,38,30,27,-0.128072379,-0.42116046,0.04173335,-0.17132423,0.185567917,0.220639127,-0.240954947,-0.05193388,0.09892557,-0.283441351,-0.228496037,-0.11403954
36,35,31,30,36,29,0.138453978,0.11471397,-0.167607416,-0.087873042,-0.203782198,-0.22875976,-0.67081055,-0.339549127,0.02300805,-0.11895682,0.15718867,0.20329711
28,28,18,15,20,20,0.149519986,-0.174296752,0.07919759,0.19085566,-0.079831209,-0.44210327,-0.14645699,-0.12297277,-0.155953647,-0.142159115,-0.207232883,-0.062073611
26,25,24,27,39,31,-0.28510835,-0.14394021,0.122317901,-0.01556995,0.0767933,-1.114642059,0.02248608,-0.6543585,-0.24709189,0.022578148,0.0736106,-0.215833857
35,48,24,37,25,28,-0.07333182,0.022872198,-0.248527507,-0.076355491,-0.006551902,0.147710416,0.14484763,-0.00858831,0.01526075,0.02855352,-0.19816779,-0.102107147
