sum_elem_nutr_score,sum_mid_nutr_score,sum_elem_ne_scores,sum_mid_ne_scores,sum_elem_pa_scores,sum_mid_pa_scores,total_elem_wp,total_mid_wp,three_mean_edfa_ela,three_mean_edfa_math,four_mean_edfa_ela,four_mean_edfa_math,five_mean_edfa_ela,five_mean_edfa_math,six_mean_edfa_ela,six_mean_edfa_math,seven_mean_edfa_ela,seven_mean_edfa_math,eight_mean_edfa_ela,eight_mean_edfa_math
34,50,42,35,27,25,103,110,-0.098640338,-0.25123215,-0.012611791,-0.20010817,0.12701893,-0.13554022,0.12663229,0.073637009,0.17557254,0.34818402,-0.064194724,0.25267285
31,35,11,9,13,15,55,59,0.22678107,0.11129656,0.30290118,0.34189799,0.53398287,0.59496689,0.43506715,0.4316822,0.66891408,0.34594521,0.50989252,0.23461561
15,14,38,38,36,28,89,80,-0.28367892,-0.013565525,0.089147612,0.055699166,0.10740162,0.46008691,-0.27854046,-0.24508713,-0.20493887,0.21091573,-0.40479359,-0.2747598
22,35,28,31,25,22,75,88,-0.31783164,-0.028949838,-0.15350576,-0.01602672,0.000736978,0.057149779,0.008406033,-0.070123665,0.005580721,0.01976149,-0.10293642,0.016154366
39,40,32,33,32,26,103,99,-0.35796711,-0.4861083,-0.40614548,-0.61699289,-0.19666342,-0.19453807,0.004001702,0.015808754,-0.21111827,0.006293336,-0.002523758,0.019301284
21,27,37,37,41,35,99,99,0.011739266,0.25113782,0.39548248,-0.035136204,-0.078143075,-0.2481377,0.091176152,0.031471707,-0.30852774,-0.049793683,0.10754622,0.28660515
31,41,39,38,34,31,104,110,0.33372399,0.48676354,0.42070299,0.46870729,0.45128781,0.59256738,0.068959408,0.12676524,0.25128296,0.35277799,0.075298376,0.038418904
29,31,25,25,37,31,91,87,,,,,,,,,,,0.72310728,1.3146809
20,29,31,29,29,23,80,81,0.19895925,0.026797438,0.18950321,0.29358092,0.4024345,0.28906232,0.22580197,0.46927822,0.004572767,0.010324404,0.044329181,-0.028065462
31,0,24,0,23,0,78,0,0.25313115,0.32005027,0.079299122,0.17092077,,,0.44154054,0.46497568,0.12004054,-0.42625427,0.030284693,-0.22410336
26,25,24,24,26,23,76,72,0.59486461,0.53597438,,,,,,,,,,
