District Name,District Number,Year,elem_nutr_gen_atm,mid_nutr_gen_atm,hs_nutr_gen_atm,elem_nutr_bkfst,mid_nutr_bkfst,hs_nutr_bkfst,elem_nutr_lunch,mid_nutr_lunch,hs_nutr_lunch,elem_nutr_a_la_carte,mid_nutr_a_la_carte,hs_nutr_a_la_carte,elem_nutr_vend,mid_nutr_vend,hs_nutr_vend,elem_nutr_sch_store,mid_nutr_sch_store,hs_nutr_sch_store,elem_nutr_sch_day,mid_nutr_sch_day,hs_nutr_sch_day,elem_nutr_aft_sch_prog,mid_nutr_aft_sch_prog,hs_nutr_aft_sch_prog,elem_ne_gen_guide_and_class,mid_ne_gen_guide_and_class,hs_ne_gen_guide_and_class,elem_ne_cafeteria,mid_ne_cafeteria,hs_ne_cafeteria,elem_ne_events_dur_sch_day,mid_ne_events_dur_sch_day,hs_ne_events_dur_sch_day,elem_ne_aft_sch_prog,mid_ne_aft_sch_prog,hs_ne_aft_sch_prog,elem_ne_fam_comm,mid_ne_fam_comm,hs_ne_fam_comm,elem_ne_staff_well,mid_ne_staff_well,hs_ne_staff_well,elem_pa_gen_guide_pe_class,mid_pa_gen_guide_pe_class,hs_pa_gen_guide_pe_class,elem_pa_thru_day,mid_pa_thru_day,hs_pa_thru_day,elem_pa_punish,mid_pa_punish,hs_pa_punish,elem_pa_recess,mid_pa_recess,hs_pa_recess,elem_pa_bef_aft_sch,mid_pa_bef_aft_sch,hs_pa_bef_aft_sch,elem_pa_fam_comm,mid_pa_fam_comm,hs_pa_fam_comm,Notes,leaid,leaname,fips,stateabb,year,grade,3_mean_edfa_ela,3_se_edfa_ela,3_mean_edfa_math,3_se_edfa_math,4_mean_edfa_ela,4_se_edfa_ela,4_mean_edfa_math,4_se_edfa_math,5_mean_edfa_ela,5_se_edfa_ela,5_mean_edfa_math,5_se_edfa_math,6_mean_edfa_ela,6_se_edfa_ela,6_mean_edfa_math,6_se_edfa_math,7_mean_edfa_ela,7_se_edfa_ela,7_mean_edfa_math,7_se_edfa_math,8_mean_edfa_ela,8_se_edfa_ela,8_mean_edfa_math,8_se_edfa_math
Abilene,435,2010,B+,B+,B+,E,E,E-,E,E,E,,E,E+,,E,E,,,E,A+,A+,A+,E+,E+,,A,A,A,E,B+,B+,E,E-,E-,A+,A+,,E-,A+,A+,E,E,E,B+,B,B,E-,E-,A+,B+,B+,B+,E-,,,,A+,A+,E-,E-,E-,,2003180,ABILENE,20,KS,2010,3,-0.098640338,0.071125679,-0.25123215,0.077590726,-0.012611791,0.098588154,-0.20010817,0.087678641,0.12701893,0.11619051,-0.13554022,0.10135186,0.12663229,0.068562679,0.073637009,0.060356349,0.17557254,0.072037332,0.34818402,0.074270517,-0.064194724,0.076141007,0.25267285,0.072943963
Andover,385,2010,B+,B+,A-,E+,E+,E+,E-,E-,E-,E,E,E,,A-,A,,,E-,A-,A-,A-,,,,B+,B+,B+,B-,B-,B-,B+,B+,B+,,,,B-,B-,B-,B+,B-,B+,B,A-,A-,B+,A+,B+,B+,B+,B+,B+,,,,,,B,B,B,,2003360,ANDOVER,20,KS,2010,3,0.22678107,0.048297949,0.11129656,0.056067843,0.30290118,0.048224378,0.34189799,0.049128342,0.53398287,0.060560398,0.59496689,0.061992869,0.43506715,0.047021069,0.4316822,0.043094922,0.66891408,0.06717246,0.34594521,0.05046168,0.50989252,0.054946471,0.23461561,0.04300141
Anthony-Harper,361,2010,B+,B,A-,E-,E-,E-,,,,,,,,,,,,,A,A,A-,,,,E-,E-,A+,E,E,E,E+,E+,B+,,,,A+,A+,A+,E,E,E,B+,B+,B+,E,E,E-,B+,B+,B+,E-,,,E,E,E,E-,A+,A+,,2003390,ANTHONY-HARPER,20,KS,2010,3,-0.28367892,0.16507691,-0.013565525,0.17732757,0.089147612,0.11231043,0.055699166,0.11331235,0.10740162,0.15171805,0.46008691,0.15665604,-0.27854046,0.096469447,-0.24508713,0.10388909,-0.20493887,0.11100384,0.21091573,0.14456193,-0.40479359,0.091061436,-0.2747598,0.10121737
Arkansas City,470,2010,B+,B+,A-,A,A,A,A,A,A,,E-,E-,,A+,A+,,,,B+,B+,B+,A+,A+,,A-,A-,A-,A-,A-,A-,A+,E+,A+,B-,B-,B-,A+,A+,A+,E-,E-,E-,B+,B+,B+,E-,E-,E-,B+,B+,B+,B+,,,B+,B+,B+,A+,A+,A+,,2003450,ARKANSAS CITY,20,KS,2010,3,-0.31783164,0.065431833,-0.028949838,0.074294321,-0.15350576,0.070370041,-0.01602672,0.069427989,0.000736978,0.078323379,0.057149779,0.071665794,0.008406033,0.072067514,-0.070123665,0.065053098,0.005580721,0.081045017,0.01976149,0.068405211,-0.10293642,0.059151463,0.016154366,0.064383984
Atchison,409,2010,B+,B+,B+,E-,E,E,E-,E-,E-,,E+,E+,E,E-,E,,,E,A+,A+,A,E,,,B,B,B,E,E,E,E-,E,E-,B-,B-,B-,A+,A+,A+,E,E,E,B+,B,B,E,E,E,B,B+,B+,A+,,,E-,E-,E,A+,A+,A+,,2003540,ATCHISON PUBLIC SCHOOLS,20,KS,2010,3,-0.35796711,0.087888487,-0.4861083,0.09689901,-0.40614548,0.078997664,-0.61699289,0.081094056,-0.19666342,0.11944851,-0.19453807,0.11649816,0.004001702,0.096674755,0.015808754,0.094372615,-0.21111827,0.099261098,0.006293336,0.09821678,-0.002523758,0.093781434,0.019301284,0.090991259
Atchison Co Comm Schools,377,2010,B+,B+,A-,A+,A+,A+,E-,E-,E-,,,E,,,E,,,,A,A-,A-,,E-,,B+,B+,B+,E,E,E,E+,E+,E+,,,,E,E,E,E+,E+,E+,A+,E,E+,E,E,E,B+,B+,B+,E,,,E,E,E-,E,E,E,,2005700,ATCHISON CO COMM SCHOOLS,20,KS,2010,3,0.011739266,0.17277567,0.25113782,0.1821626,0.39548248,0.14233537,-0.035136204,0.13102193,-0.078143075,0.15654139,-0.2481377,0.14513533,0.091176152,0.11476541,0.031471707,0.11075656,-0.30852774,0.12821917,-0.049793683,0.10501131,0.10754622,0.14498143,0.28660515,0.14338551
Augusta,402,2010,B+,B+,A-,E+,E+,E+,E,E,E,,E+,E+,A+,E,E-,,,,A,A-,A,,,,A,A-,A,E,E,E,E+,E+,E+,,,,E,E,E,E+,E+,E+,B,A-,A,E,E,E,B,B+,B+,E-,,,E-,E,E,E,E,E,,2003630,AUGUSTA,20,KS,2010,3,0.33372399,0.07473027,0.48676354,0.10267131,0.42070299,0.065396465,0.46870729,0.076226987,0.45128781,0.078967631,0.59256738,0.10750051,0.068959408,0.073983967,0.12676524,0.069260292,0.25128296,0.073389135,0.35277799,0.074058972,0.075298376,0.079086669,0.038418904,0.068246551
Axtell,488,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Incomplete WP,2003660,AXTELL,20,KS,2010,5,,,,,,,,,-0.010972887,0.18911004,-0.53876042,0.18634345,,,,,,,,,0.026585685,0.18277997,0.31459466,0.18576977
B B,451,2010,B+,B+,A-,E-,E-,E-,A+,A+,A+,E,E,E,,B,B,B,B,B,B+,B+,B+,,,,B+,B+,B+,A+,A+,A+,A+,A+,A+,B-,B-,B-,E,E,E,B-,B-,B-,E-,E+,E+,E,E-,E-,B,B,B,E,,,E-,E-,E-,A,A+,A+,,2003690,B & B,20,KS,2010,8,,,,,,,,,,,,,,,,,,,,,0.72310728,0.22752966,1.3146809,0.24143237
Baldwin City,348,2010,B+,B+,A-,E,E,E,A,A+,A+,,E,E,,,E-,,,,A-,A-,A-,,,,A,A,A,E,E,E,A+,A,A,,,,B+,B+,B+,E+,E,A+,B+,A-,A-,E,E,E,B+,B+,B+,E-,,,,,,E,E,E,,2003720,BALDWIN CITY,20,KS,2010,3,0.19895925,0.084003218,0.026797438,0.094273247,0.18950321,0.083381042,0.29358092,0.094384752,0.4024345,0.12199338,0.28906232,0.10674115,0.22580197,0.080785967,0.46927822,0.10871276,0.004572767,0.08905226,0.010324404,0.073802523,0.044329181,0.10672597,-0.028065462,0.11454122
